,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
2869,Condominium,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,0,1,19,1,99,0,1
2870,Condominium,Private room,Real Bed,1,1125,moderate,2/11/2019 5:00,2/11/2019 5:00,1,1,1,2,1,201,0,1
2871,Condominium,Entire home/apt,Real Bed,30,36,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,0,1,65,0,2
2872,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,4,2,3,0,1,200,0,1
2873,Condominium,Entire home/apt,Real Bed,5,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,6,3,3,1,1.5,150,0,1
2874,Apartment,Entire home/apt,Real Bed,32,1125,moderate,3/8/2019 5:00,3/8/2019 5:00,2,1,1,1,1,75,0,2
2875,Guesthouse,Entire home/apt,Real Bed,1,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,4,0,2,22,1,53,20,2
2876,Apartment,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,4,1,2,175,1,180,15,2
2877,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,6,2,5,4,2,246,20,5
2878,Apartment,Entire home/apt,Real Bed,2,21,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,31,1,80,0,1
2879,Apartment,Entire home/apt,Real Bed,31,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,4,1,1,2,1,191,0,2
2880,Apartment,Private room,Real Bed,3,1125,flexible,3/7/2019 5:00,3/7/2019 5:00,1,1,1,8,1,90,0,1
2881,Loft,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,3,1,2,3,1,70,0,1
2882,Condominium,Private room,Real Bed,1,5,moderate,3/11/2019 4:00,3/11/2019 4:00,1,1,1,0,1,353,0,1
2883,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,6,2,3,63,1,856,157,2
2884,Condominium,Entire home/apt,Real Bed,7,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,3,1,1,3,1,64,0,1
2885,Casa particular (Cuba),Entire home/apt,Real Bed,10,30,flexible,2/18/2019 5:00,2/18/2019 5:00,12,1,3,0,1,501,0,1
2886,Serviced apartment,Entire home/apt,Real Bed,2,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,4,1,1,0,1,295,0,1
2887,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,4,1,1,20,1,119,0,1
